ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, oeste"
Anuncio actualizado el 9 de abril,0,0,1.0,1,0,,,,1,1,83846390,0,,Zalamea la Real,," , Zalamea la Real , El Andévalo, Huelva ",,"El Andévalo, Huelva",5010,125,2019-04-13,110000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,39648980,1,,Tharsis,"Calle huerto lanchares, 33"," Calle huerto lanchares, 33 , Tharsis , El Andévalo, Huelva ",,"El Andévalo, Huelva",70,,2019-04-13,18000,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,1,,no indicado,,0,0,81378857,2,,Nerva,"Calle Cicerón, 1"," Calle Cicerón, 1 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",60,,2019-04-13,25000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82328410,3,,Minas de Riotinto,"Calle Tartesos, 30"," Calle Tartesos, 30 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",71,,2019-04-13,30000,0,2.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,,planta 1ª exterior,0,0,37962845,4,0,El Almendro,"Calle Poeta Miguel Hernandez, 1"," Calle Poeta Miguel Hernandez, 1 , El Almendro , El Andévalo, Huelva ",,"El Andévalo, Huelva",140,,2019-04-13,95000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,,2 plantas,0,0,37977635,2,,Puebla de Guzman,"Calle Fuentes, 2"," Calle Fuentes, 2 , Puebla de Guzman , El Andévalo, Huelva ",,"El Andévalo, Huelva",180,,2019-04-13,85000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,1,2015,no indicado,2 plantas,0,0,39983372,2,,Zalamea la Real,"Calle el Zumajo, 4"," Calle el Zumajo, 4 , Zalamea la Real , El Andévalo, Huelva ",,"El Andévalo, Huelva",192,180,2019-04-13,96000,0,4.0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,entreplanta exterior,0,0,81163294,4,0,Villanueva de los Castillejos,"Calle mesones, 102"," Calle mesones, 102 , Villanueva de los Castillejos , El Andévalo, Huelva ",,"El Andévalo, Huelva",150,,2019-04-13,100000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,31459797,2,,Puebla de Guzman,"Calle cebadilla, 15"," Calle cebadilla, 15 , Puebla de Guzman , El Andévalo, Huelva ",,"El Andévalo, Huelva",90,,2019-04-13,130000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,no indicado,planta 1ª exterior,0,0,35290713,4,0,Valverde del Camino,"Calle Santa Ana la Real, 5"," Calle Santa Ana la Real, 5 , Valverde del Camino , El Andévalo, Huelva ",,"El Andévalo, Huelva",110,,2019-04-13,125000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,0,35265135,2,,Sanlucar de Guadiana,"Calle Danzadores, 18"," Calle Danzadores, 18 , Sanlucar de Guadiana , El Andévalo, Huelva ",,"El Andévalo, Huelva",100,,2019-04-13,36000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,2 plantas,1,0,38389069,3,,El Almendro,"Calle Era de Tejada, 4"," Calle Era de Tejada, 4 , El Almendro , El Andévalo, Huelva ",,"El Andévalo, Huelva",110,,2019-04-13,79000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,planta 1ª exterior,0,0,81217118,4,0,Villanueva de los Castillejos,"Calle Lepe, 82 - 1ºD"," Calle Lepe, 82 - 1ºD , Villanueva de los Castillejos , El Andévalo, Huelva ",,"El Andévalo, Huelva",99,,2019-04-13,60000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,35072254,4,0,Minas de Riotinto,"Barrio la Naya, 9"," Barrio la Naya, 9 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",70,,2019-04-13,60000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,en trámite,,1,0,31252552,3,,Zalamea la Real,"rocio, 57"," rocio, 57 , Zalamea la Real , El Andévalo, Huelva ",,"El Andévalo, Huelva",170,,2019-04-13,90000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,,0,0,29514376,2,,Puebla de Guzman,"Larga, 62"," Larga, 62 , Puebla de Guzman , El Andévalo, Huelva ",,"El Andévalo, Huelva",200,,2019-04-13,160000,0,0.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,81378864,2,,Nerva,"Calle Cirujeda, 2"," Calle Cirujeda, 2 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",60,,2019-04-13,25000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,en trámite,1 planta,0,0,38370901,2,,Calañas,"Calle Luna, 3"," Calle Luna, 3 , Calañas , El Andévalo, Huelva ",,"El Andévalo, Huelva",90,,2019-04-13,14000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,1 planta,0,0,28424728,5,,El Campillo,"Concha Espina, 48"," Concha Espina, 48 , El Campillo , El Andévalo, Huelva ",,"El Andévalo, Huelva",80,80,2019-04-13,119000,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,1,0,32198066,2,,Nerva,"Calle benito pérez galdós, 6"," Calle benito pérez galdós, 6 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",180,,2019-04-13,80000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,0,0,,en trámite,1 planta,1,1,38469739,1,,Minas de Riotinto,"Calle Filón Norte, 6"," Calle Filón Norte, 6 , Minas de Riotinto , El Andévalo, Huelva ",,"El Andévalo, Huelva",900,140,2019-04-13,185000,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,1,0,1.0,1,0,,no indicado,1 planta,1,0,27941801,3,,Nerva,"Calle Augusto, 49"," Calle Augusto, 49 , Nerva , El Andévalo, Huelva ",,"El Andévalo, Huelva",127,90,2019-04-13,93000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
