ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gas natural,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 10 de abril,1,0,1.0,0,0,1976,en trámite,planta 4ª exterior,1,0,83346506,0,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",103,96,2019-04-12,164900,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,2 plantas,1,0,38939811,1,,Pinto,Distrito Parque Europa - Los Pitufos," Calle de la Paz, 7 , Urb. los pitufos , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. los pitufos,"Zona sur, Madrid",120,,2019-04-12,370000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 2ª exterior,1,0,29193861,0,1,Pinto,Distrito Puerta Pinto - Valparaíso," Calle de San Juan, 18 , Distrito Puerta Pinto - Valparaíso , Pinto , Zona sur, Madrid ","Calle de San Juan, 18","Zona sur, Madrid",99,,2019-04-12,190000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,,,4 plantas,1,1,37200315,2,,Pinto,Distrito Parque Europa - Los Pitufos," Calle Suecia, 9 , Urb. Parque Europa , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. Parque Europa,"Zona sur, Madrid",240,215,2019-04-12,450000,0,4.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2000,no indicado,planta 3ª exterior,1,1,1806508,3,1,Pinto,Distrito Parque Europa - Los Pitufos," Avenida Europa, 29 , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ","Avenida Europa, 29","Zona sur, Madrid",169,100,2019-04-12,282000,1,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,,planta 1ª interior,1,1,36503576,0,1,Pinto,Distrito San José - Buenos Aires," Calle de Nicolás Fuster, 13 -16 , Urb. Princesa deÉboli , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",Urb. Princesa deÉboli,"Zona sur, Madrid",84,,2019-04-12,190000,0,2.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,3.0,1,0,1986,no indicado,2 plantas,1,1,40444637,4,,Pinto,Distrito San José - Buenos Aires," Calle de Ignacio Fuster, 12 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle de Ignacio Fuster, 12","Zona sur, Madrid",1300,,2019-04-12,600000,0,7.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 8 de abril,1,0,1.0,0,0,,,planta 2ª exterior,0,0,400052,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle San Diego de Alcala, 13 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle San Diego de Alcala, 13","Zona sur, Madrid",50,,2019-04-12,159000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,1,0,2.0,1,0,,en trámite,planta 4ª exterior,1,1,81337808,5,1,Pinto,Distrito Teneria i - Teneria Ii," Calle Antonio Saura, 3 , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ","Calle Antonio Saura, 3","Zona sur, Madrid",140,,2019-04-12,380000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 20 de noviembre,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,83212059,0,0,Pinto,Distrito Centro - Ayuntamiento," Calle Egido de la Fuente, 1 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Calle Egido de la Fuente, 1","Zona sur, Madrid",65,,2019-04-12,137000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,1,0,2.0,1,0,,,planta 3ª exterior,1,1,82699215,3,1,Pinto,Distrito Teneria i - Teneria Ii," Avenida de Antonio López, 1 , Distrito Teneria i - Teneria Ii , Pinto , Zona sur, Madrid ","Avenida de Antonio López, 1","Zona sur, Madrid",110,95,2019-04-12,500000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de marzo,0,1,1.0,0,0,,,planta 2ª exterior,0,0,84563426,0,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",96,,2019-04-12,117800,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de marzo,1,0,1.0,1,0,,,planta 1ª exterior,0,0,84562427,0,0,Pinto,Distrito Centro - Ayuntamiento," Plaza de Vaquerizo, Pinto , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Plaza de Vaquerizo, Pinto","Zona sur, Madrid",58,,2019-04-12,105700,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,1,1.0,0,0,,no indicado,planta 1ª exterior,0,0,85007763,0,1,Pinto,Distrito Parque Europa - Los Pitufos," Avenida de Europa, 1 , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ","Avenida de Europa, 1","Zona sur, Madrid",75,,2019-04-12,150000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de marzo,0,0,1.0,1,0,,no indicado,planta 1ª exterior,0,0,81464369,0,0,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",90,89,2019-04-12,147900,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de marzo,0,0,2.0,0,0,,en trámite,bajo exterior,1,0,83305206,0,1,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",98,,2019-04-12,187500,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,0,0,1.0,0,0,,en trámite,,0,0,84263555,1,,Pinto,Distrito Puerta Pinto - Valparaíso," Urb. SAN MARTIN , Distrito Puerta Pinto - Valparaíso , Pinto , Zona sur, Madrid ",Urb. SAN MARTIN,"Zona sur, Madrid",130,,2019-04-12,162500,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de noviembre,1,0,1.0,1,0,,no indicado,1 planta,1,0,1888708,4,,Pinto,Distrito Parque Europa - Los Pitufos," Calle Cardenal Cisneros, 2 , Urb. calle perales , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",Urb. calle perales,"Zona sur, Madrid",187,,2019-04-12,600000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 11 de marzo,1,0,1.0,1,0,,no indicado,planta 4ª exterior,0,0,1648290,0,0,Pinto,Distrito Centro - Ayuntamiento," Paseo Dolores Soria, 5 , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ","Paseo Dolores Soria, 5","Zona sur, Madrid",60,,2019-04-12,185000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,1,0,1.0,1,0,,en trámite,planta 1ª exterior,0,0,81303652,0,0,Pinto,Distrito Parque Europa - Los Pitufos," , Distrito Parque Europa - Los Pitufos , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",74,,2019-04-12,156000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,0,1.0,1,0,,en trámite,planta 2ª exterior,1,0,82532857,0,0,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",61,52,2019-04-12,139900,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 23 de noviembre,0,0,1.0,1,0,,en trámite,planta 2ª exterior,0,0,83055428,0,0,Pinto,Distrito San José - Buenos Aires," , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",72,,2019-04-12,116000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de marzo,0,1,2.0,1,0,1991,en trámite,planta 1ª exterior,1,0,83310462,0,1,Pinto,Distrito Centro - Ayuntamiento," , Distrito Centro - Ayuntamiento , Pinto , Zona sur, Madrid ",,"Zona sur, Madrid",131,,2019-04-12,229900,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,1,0,1.0,1,0,,en trámite,planta 2ª exterior,0,0,84134130,3,0,Pinto,Distrito San José - Buenos Aires," Calle de San José, 3 , Distrito San José - Buenos Aires , Pinto , Zona sur, Madrid ","Calle de San José, 3","Zona sur, Madrid",58,,2019-04-12,103000,0,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
