ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 3 de abril,0,1,2.0,0,0,1981,,2 plantas,1,1,84610105,0,,Tijarafe,Urb. La Punta de Tijarafe," Camino el Time, Tijarafe s/n , Urb. La Punta de Tijarafe , Tijarafe , La Palma, Santa Cruz de Tenerife ","Camino el Time, Tijarafe s/n","La Palma, Santa Cruz de Tenerife",5266,173,2019-04-14,900000,0,3.0,1,1,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,38935496,1,1,Los Llanos de Aridane,"Avenida Carlos Francisco Lorenzo Navarro, 23"," Avenida Carlos Francisco Lorenzo Navarro, 23 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",60,,2019-04-14,79000,0,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,82686512,0,,Breña Alta,"Camino la Pavona, 40"," Camino la Pavona, 40 , Breña Alta , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",259,,2019-04-14,180000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,,no indicado,1 planta,0,0,81855630,2,,Villa de Mazo,"Monte de Breña, 157"," Monte de Breña, 157 , Villa de Mazo , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",2000,120,2019-04-14,250000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,2.0,0,0,,no indicado,planta 2ª exterior,1,0,36330457,1,1,Breña Baja,"Camino de Vista Alegre, 144"," Camino de Vista Alegre, 144 , Breña Baja , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",82,73,2019-04-14,125000,1,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,1,29988909,0,,Villa de Mazo,Poleal s/n," Poleal s/n , Villa de Mazo , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",170,,2019-04-14,70000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,inmueble exento,planta 2ª exterior,0,0,33513302,1,1,Breña Baja,"Cuesta de san josé, 112 A"," Cuesta de san josé, 112 A , Breña Baja , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",60,,2019-04-14,85000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,planta 2ª exterior,0,0,37959684,1,1,Breña Baja,"Camino de El Rincón, 11"," Camino de El Rincón, 11 , Breña Baja , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",60,59,2019-04-14,85000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,322435,1,1,Los Llanos de Aridane,"Calle Pedro Poggio, 11"," Calle Pedro Poggio, 11 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",50,,2019-04-14,96000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 1ª exterior,0,0,81399131,1,0,Los Llanos de Aridane,"Calle Velázquez, 43"," Calle Velázquez, 43 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",111,,2019-04-14,150000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,bajo exterior,1,0,35107720,1,1,Breña Alta,"Calle la Constitución, 23"," Calle la Constitución, 23 , Breña Alta , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",87,78,2019-04-14,135000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,0.0,0,0,,no indicado,2 plantas,0,1,37610559,3,,Garafia,"Roque del Faro, Garafia s/n"," Roque del Faro, Garafia s/n , Garafia , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",1368,94,2019-04-14,40000,0,7.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,1,,en trámite,2 plantas,1,0,37864965,4,,San Andrés y Sauces,"Camino La Pedrera, 25"," Camino La Pedrera, 25 , San Andrés y Sauces , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",187,,2019-04-14,180000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,en trámite,planta 4ª interior,1,0,38506871,5,1,Los Llanos de Aridane,"Calle Velázquez, 2"," Calle Velázquez, 2 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",104,,2019-04-14,138000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,,planta 2ª exterior,0,0,81699812,1,1,Santa Cruz de la Palma,"Avenida el Puente, 46"," Avenida el Puente, 46 , Santa Cruz de la Palma , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",120,107,2019-04-14,160000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,1 planta,0,1,82118909,2,,Los Llanos de Aridane,"Camino Malpaís de Triana, 14"," Camino Malpaís de Triana, 14 , Los Llanos de Aridane , La Palma, Santa Cruz de Tenerife ",,"La Palma, Santa Cruz de Tenerife",300,90,2019-04-14,115000,0,3.0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
