ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 4 de diciembre,1,0,3.0,1,0,2007,no indicado,,1,1,83082391,0,,Guillena,," , Guillena , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",302,200,2019-04-13,212000,0,5.0,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,1,3.0,0,0,,no indicado,,1,0,39747404,1,,Almadén de la Plata,"Calle las Granadinas, 20"," Calle las Granadinas, 20 , Almadén de la Plata , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",500,,2019-04-13,280000,0,5.0,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,81496837,2,,El Pedroso,"Calle Yesca, 7"," Calle Yesca, 7 , El Pedroso , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",200,,2019-04-13,50000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,2 plantas,1,0,81791682,2,,Guadalcanal,"Calle Vicente Amigo, 42"," Calle Vicente Amigo, 42 , Guadalcanal , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",200,,2019-04-13,90000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,3.0,0,0,,no indicado,planta 1ª exterior,0,0,81884725,3,0,Castilblanco de los Arroyos,"Calle Valdes Leal, 8"," Calle Valdes Leal, 8 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",120,,2019-04-13,125000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,81928510,3,0,La Puebla de los Infantes,"Calle Angorrilla, 6"," Calle Angorrilla, 6 , La Puebla de los Infantes , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",150,,2019-04-13,78000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82099385,1,,Almadén de la Plata,"Calle las Matas, 17"," Calle las Matas, 17 , Almadén de la Plata , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",100,,2019-04-13,30000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,82119031,2,,Aznalcollar,"Calle Torres, 11"," Calle Torres, 11 , Aznalcollar , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",134,,2019-04-13,95000,0,3.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,2 plantas,0,0,82612772,4,,Constantina,"Calle Bonete, 10"," Calle Bonete, 10 , Constantina , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",15000,,2019-04-13,425000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,82836585,1,,Almadén de la Plata,"Calle Castilla, 71"," Calle Castilla, 71 , Almadén de la Plata , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",75,,2019-04-13,110000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
