ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 11 de abril,0,1,2.0,1,0,,,planta 6ª exterior,0,1,85034335,14,1,Soria,Distrito Avda de Valladolid," Avenida Valladolid, 55 , Urb. Con piscina , Distrito Avda de Valladolid , Soria , Área de Soria, Soria ",Urb. Con piscina,"Área de Soria, Soria",60,55,2019-04-11,470,0,1.0,1,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,1,0,81333035,15,1,Golmayo,"Calle fuente del berros, 1"," Calle fuente del berros, 1 , Golmayo , Área de Soria, Soria ",,"Área de Soria, Soria",45,,2019-04-11,325,0,1.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,83180154,14,0,Medinaceli,"Avenida Madrid, 74"," Avenida Madrid, 74 , Medinaceli , Almazán, Soria ",,"Almazán, Soria",110,,2019-04-11,320,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 2 meses sin actualizar,0,0,2.0,1,0,,no indicado,planta 4ª exterior,0,0,83711122,14,1,Soria,Distrito Centro," Calle Alberca, 6 , Distrito Centro , Soria , Área de Soria, Soria ","Calle Alberca, 6","Área de Soria, Soria",98,89,2019-04-11,550,0,3.0,0,0,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,1,0,,,planta 2ª exterior,1,1,82718673,14,1,Soria,Distrito Avda de Valladolid," Calle Galicia, 13 , Distrito Avda de Valladolid , Soria , Área de Soria, Soria ","Calle Galicia, 13","Área de Soria, Soria",100,88,2019-04-11,600,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de febrero,0,0,1.0,0,0,,en trámite,planta 1ª exterior,0,0,30158852,14,0,Soria,Distrito Centro," Plaza San Gil, 1 , Distrito Centro , Soria , Área de Soria, Soria ","Plaza San Gil, 1","Área de Soria, Soria",85,79,2019-04-11,450,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 7 de abril,0,0,1.0,1,0,,inmueble exento,bajo exterior,0,0,25033253,14,0,Arcos de Jalon,"Avenida de la Constitución, 7"," Avenida de la Constitución, 7 , Arcos de Jalon , Almazán, Soria ",,"Almazán, Soria",73,67,2019-04-11,300,1,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Anuncio actualizado el 9 de abril,0,0,2.0,0,0,,no indicado,planta 2ª exterior,1,0,83262462,14,0,Navaleno,"Calle del medio, 12"," Calle del medio, 12 , Navaleno , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",110,90,2019-04-11,340,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de febrero,0,0,1.0,0,0,,no indicado,bajo exterior,0,0,84379405,14,1,San esteban de Gormaz,"Calle Canal, 6"," Calle Canal, 6 , San esteban de Gormaz , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",78,,2019-04-11,320,0,2.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de marzo,0,0,1.0,0,0,,no indicado,2 plantas,0,0,84723763,16,,Burgo de Osma-Ciudad de Osma,"Calle la Nevera, 16"," Calle la Nevera, 16 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",85,,2019-04-11,460,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
