ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,,no indicado,,0,0,85016959,0,,Almazan,," , Almazan , Almazán, Soria ",,"Almazán, Soria",82,,2019-04-11,36700,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,0.0,0,0,,no indicado,,0,0,341277,1,,Monteagudo de las Vicarias,"Calle la Madera, 4"," Calle la Madera, 4 , Monteagudo de las Vicarias , Almazán, Soria ",,"Almazán, Soria",210,,2019-04-11,12000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 2ª exterior,0,0,29441395,0,0,Soria,Distrito Zona Polideportivos Asperon - Mariano Vicen," Paseo San Francisco, 6 , Distrito Zona Polideportivos Asperon - Mariano Vicen , Soria , Área de Soria, Soria ","Paseo San Francisco, 6","Área de Soria, Soria",99,,2019-04-11,60000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,,,0,0,35627682,1,,Arcos de Jalon,"Calle agueda, 2"," Calle agueda, 2 , Arcos de Jalon , Almazán, Soria ",,"Almazán, Soria",110,,2019-04-11,49500,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,82854038,1,,San Pedro Manrique,"Plaza San Martín, 12"," Plaza San Martín, 12 , San Pedro Manrique , Pinares y Tierras Altas, Soria ",,"Pinares y Tierras Altas, Soria",240,,2019-04-11,60000,0,6.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,,planta 4ª exterior,0,0,37170443,0,1,Almazan,"Calle Comuneros Castilla, 26"," Calle Comuneros Castilla, 26 , Almazan , Almazán, Soria ",,"Almazán, Soria",90,,2019-04-11,145000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,81317118,2,,Santa Maria de Huerta,"Calle San Bernardo, 9"," Calle San Bernardo, 9 , Santa Maria de Huerta , Almazán, Soria ",,"Almazán, Soria",250,67,2019-04-11,15000,0,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,82155153,0,1,Golmayo,Urb. Las Camaretas," Calle Fuenteberros, 2 , Urb. Las Camaretas , Golmayo , Área de Soria, Soria ","Calle Fuenteberros, 2","Área de Soria, Soria",74,69,2019-04-11,98000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,1920,,3 plantas,0,0,39553780,1,,Olvega,"Calle Capiscol, 1"," Calle Capiscol, 1 , Olvega , Área de Soria, Soria ",,"Área de Soria, Soria",350,250,2019-04-11,49000,0,5.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,en trámite,3 plantas,0,0,81536123,3,,Burgo de Osma-Ciudad de Osma,"Calle Ricardo Ayuso, 90"," Calle Ricardo Ayuso, 90 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,"Burgo de Osma, Soria",195,,2019-04-11,20000,0,4.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
