ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 4 de abril,0,0,1.0,0,0,,en trámite,,0,0,84926697,0,,Ademuz,," , Ademuz , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",80,162,2019-04-14,67500,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,374094,1,,Casas Bajas,"Calle del Horno, 5"," Calle del Horno, 5 , Casas Bajas , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",176,,2019-04-14,60000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,28228285,1,,Ademuz,"Calle Calderas, 22"," Calle Calderas, 22 , Ademuz , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",55,,2019-04-14,18000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,entreplanta exterior,0,0,82134694,2,0,Ademuz,"Avenida Valencia, 73"," Avenida Valencia, 73 , Ademuz , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",105,,2019-04-14,60000,0,4.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,en trámite,3 plantas,0,0,29512920,3,,Castielfabib,Travesía Eras Alta Santos s/n," Travesía Eras Alta Santos s/n , Castielfabib , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",50,,2019-04-14,10000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,1,,no indicado,4 plantas,1,0,31356811,3,,Vallanca,"Calle calvo sotelo, 6"," Calle calvo sotelo, 6 , Vallanca , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",160,,2019-04-14,30000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,1,,no indicado,4 plantas,0,0,31122802,3,,Ademuz,"Calle portal, 225"," Calle portal, 225 , Ademuz , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",78,,2019-04-14,49000,0,5.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,3 plantas,0,0,36189350,3,,Vallanca,"Calle general mola, 10"," Calle general mola, 10 , Vallanca , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",312,,2019-04-14,50000,0,1.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 18 de diciembre,0,0,1.0,0,0,,no indicado,4 plantas,0,0,83622908,4,,Ademuz,"Calle Portal, 81"," Calle Portal, 81 , Ademuz , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",180,,2019-04-14,30000,0,3.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,0,1.0,0,0,,no indicado,3 plantas,0,0,31165754,3,,Castielfabib,"Calle virgen de gracia, 29"," Calle virgen de gracia, 29 , Castielfabib , El Rincón de Ademuz, València ",,"El Rincón de Ademuz, València",132,,2019-04-14,60000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
