ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 5 de abril,0,0,2.0,1,0,1986,en trámite,2 plantas,1,1,84854870,0,,Valladolid,Distrito La Overuela," san antolin , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ",san antolin,"Área Metropolitana Valladolid, Valladolid",150,110,2019-04-13,199000,0,4.0,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 18 de febrero,0,0,1.0,0,0,,no indicado,bajo exterior,1,0,84327681,1,0,Valladolid,Distrito La Overuela," Calle de las Tablas, 1 , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ","Calle de las Tablas, 1","Área Metropolitana Valladolid, Valladolid",100,,2019-04-13,105000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,,en trámite,,1,0,82661082,1,1,Valladolid,Distrito La Overuela," , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ",,"Área Metropolitana Valladolid, Valladolid",75,59,2019-04-13,78700,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de enero,0,0,2.0,0,0,,en trámite,,0,0,83970730,2,,Valladolid,Distrito La Overuela," Zamadueñas , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ",Zamadueñas,"Área Metropolitana Valladolid, Valladolid",153,,2019-04-13,140000,0,3.0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de febrero,0,0,1.0,0,0,,no indicado,,0,0,38891523,3,,Valladolid,Distrito La Overuela," Calle Calveras, 8 , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ","Calle Calveras, 8","Área Metropolitana Valladolid, Valladolid",50,,2019-04-13,145000,0,2.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,1,2.0,1,0,,,4 plantas,0,0,82590316,0,,Valladolid,Distrito La Overuela," Mirador del rio, 23 , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ","Mirador del rio, 23","Área Metropolitana Valladolid, Valladolid",30,160,2019-04-13,179000,0,3.0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,1.0,1,0,,,1 planta,0,0,84409803,4,,Valladolid,Distrito La Overuela," Calle Calveras, 8 , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ","Calle Calveras, 8","Área Metropolitana Valladolid, Valladolid",136,90,2019-04-13,135000,0,2.0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de marzo,0,0,2.0,0,0,,en trámite,bajo exterior,1,1,83938035,5,0,Valladolid,Distrito La Overuela," san antolin , Distrito La Overuela , Valladolid , Área Metropolitana Valladolid, Valladolid ",san antolin,"Área Metropolitana Valladolid, Valladolid",90,70,2019-04-13,105000,0,2.0,1,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ad_last_update,air_conditioner,balcony,0.0,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,1,garden,house_id,6,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,0.0,storage_room,swimming_pool,terrace,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 11 de abril,1,0,2.0,1,0,,en trámite,bajo exterior,1,0,85029925,1,0,Sanlúcar la Mayor,," , Sanlúcar la Mayor , Aljarafe, Sevilla ",,"Aljarafe, Sevilla",125,,2019-04-13,115000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
