ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 11 de abril,0,0,1.0,1,0,,en trámite,bajo exterior,1,0,81670307,15,1,Zamora,Distrito Pantoja - Vista Alegre," Avenida de Valladolid, 3 , Distrito Pantoja - Vista Alegre , Zamora , Área de Zamora, Zamora ","Avenida de Valladolid, 3","Área de Zamora, Zamora",60,,2019-04-11,320,0,1.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 3ª exterior,0,0,83217510,15,0,Zamora,Distrito Los Bloques," Calle de Diego de Almagro, 1 , Distrito Los Bloques , Zamora , Área de Zamora, Zamora ","Calle de Diego de Almagro, 1","Área de Zamora, Zamora",110,,2019-04-11,360,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,,,,1,1,83235101,16,,San Cristobal de Entreviñas,"Calle Lordemanos, 1"," Calle Lordemanos, 1 , San Cristobal de Entreviñas , Benavente, Zamora ",,"Benavente, Zamora",130,,2019-04-11,350,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,,no indicado,,1,0,83628506,17,,Fuentesauco,"Calle Vista Alegre, 13"," Calle Vista Alegre, 13 , Fuentesauco , Tierra del Vino - La Guareña, Zamora ",,"Tierra del Vino - La Guareña, Zamora",135,,2019-04-11,400,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,,no indicado,planta 4ª exterior,0,0,83888721,15,1,Zamora,Distrito Pantoja - Vista Alegre," Avenida de Valladolid, 1 , Distrito Pantoja - Vista Alegre , Zamora , Área de Zamora, Zamora ","Avenida de Valladolid, 1","Área de Zamora, Zamora",77,,2019-04-11,450,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,81773102,15,0,Benavente,"Calle Ancho, 4"," Calle Ancho, 4 , Benavente , Zamora ",,Zamora,68,,2019-04-11,280,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,1,0,2.0,1,0,,en trámite,planta 6ª exterior,0,0,29031417,18,1,Zamora,Distrito La Candelaria," Calle Candelaria Ruiz del Árbol, 8 -6ºB , Distrito La Candelaria , Zamora , Área de Zamora, Zamora ","Calle Candelaria Ruiz del Árbol, 8 -6ºB","Área de Zamora, Zamora",109,90,2019-04-11,420,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,1,0,,,planta 2ª exterior,1,0,25248195,15,0,Villalpando,"Plaza Mayor, 20"," Plaza Mayor, 20 , Villalpando , Tierra de Campos, Zamora ",,"Tierra de Campos, Zamora",60,55,2019-04-11,280,0,1.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,1,0,,en trámite,bajo exterior,1,0,27375396,15,1,Zamora,Distrito Centro," Calle Zapatería, 28 , Distrito Centro , Zamora , Área de Zamora, Zamora ","Calle Zapatería, 28","Área de Zamora, Zamora",50,45,2019-04-11,400,0,1.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,1.0,0,0,,,planta 4ª exterior,0,0,83774333,15,1,Zamora,Distrito Los Bloques," Carretera de la Aldehuela, 19 , Distrito Los Bloques , Zamora , Área de Zamora, Zamora ","Carretera de la Aldehuela, 19","Área de Zamora, Zamora",80,78,2019-04-11,450,1,3.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,3.0,0,0,,no indicado,3 plantas,1,0,29423829,17,,Galende,"Carretera Barrio, 24"," Carretera Barrio, 24 , Galende , Sanabria, Zamora ",,"Sanabria, Zamora",50,,2019-04-11,620,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,2.0,1,0,,no indicado,planta 3ª exterior,0,0,34326116,18,0,Galende,"Carretera barrio, 35"," Carretera barrio, 35 , Galende , Sanabria, Zamora ",,"Sanabria, Zamora",75,68,2019-04-11,350,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
más de 2 meses sin actualizar,0,1,1.0,1,0,,inmueble exento,planta 1ª exterior,1,0,39988389,15,1,Bermillo de Sayago,"Avenida Guardia Civil, 1"," Avenida Guardia Civil, 1 , Bermillo de Sayago , Área de Sayago, Zamora ",,"Área de Sayago, Zamora",80,60,2019-04-11,375,0,2.0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de marzo,0,0,2.0,0,0,,no indicado,,0,0,326309,17,,El Cubo de Tierra del Vino,"Calle Mayor, 38"," Calle Mayor, 38 , El Cubo de Tierra del Vino , Tierra del Vino - La Guareña, Zamora ",,"Tierra del Vino - La Guareña, Zamora",100,,2019-04-11,350,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 19 de septiembre,0,0,2.0,0,0,,no indicado,planta 1ª,1,0,39669159,15,1,Zamora,Distrito Centro," , Distrito Centro , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",90,,2019-04-11,600,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de febrero,0,0,3.0,0,0,,no indicado,,1,0,84450771,17,,Zamora,Distrito Barrio Pinilla," Calle Fray Antón Martín, 2 , Distrito Barrio Pinilla , Zamora , Área de Zamora, Zamora ","Calle Fray Antón Martín, 2","Área de Zamora, Zamora",174,,2019-04-11,550,0,5.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,1.0,0,0,,en trámite,planta 1ª exterior,0,0,84661957,15,0,Toro,"Calle Amor de Dios, 11"," Calle Amor de Dios, 11 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",90,,2019-04-11,300,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 14 de marzo,0,0,2.0,0,0,,no indicado,planta 2ª exterior,0,0,84659891,15,1,Benavente,"Calle Ermita de San Lázaro, 3"," Calle Ermita de San Lázaro, 3 , Benavente , Zamora ",,Zamora,84,,2019-04-11,350,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 20 de marzo,0,0,1.0,0,0,,no indicado,planta 6ª exterior,0,0,84738159,15,1,Zamora,Distrito Ensanche," Avenida del Príncipe de Asturias, 37 , Distrito Ensanche , Zamora , Área de Zamora, Zamora ","Avenida del Príncipe de Asturias, 37","Área de Zamora, Zamora",85,,2019-04-11,400,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de marzo,0,0,1.0,0,0,,no indicado,planta 2ª exterior,0,0,84814121,15,0,Benavente,"Calle San Antón, 17"," Calle San Antón, 17 , Benavente , Zamora ",,Zamora,98,,2019-04-11,400,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de marzo,0,0,1.0,0,0,,,,0,0,83063744,15,0,Zamora,Distrito La Candelaria," , Distrito La Candelaria , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",104,,2019-04-11,460,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de abril,0,0,2.0,0,0,,no indicado,planta 1ª exterior,1,1,27965720,15,0,Monfarracinos,"Calle los Palacios, 31"," Calle los Palacios, 31 , Monfarracinos , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",105,90,2019-04-11,300,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de abril,0,0,2.0,0,0,,no indicado,planta 4ª exterior,1,0,84945403,15,1,Benavente,"Calle San Vicente, 5"," Calle San Vicente, 5 , Benavente , Zamora ",,Zamora,100,,2019-04-11,400,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de septiembre,0,1,1.0,0,0,1975,no indicado,planta 5ª exterior,0,0,35988968,15,1,Zamora,Distrito Centro," , Distrito Centro , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",101,90,2019-04-11,450,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de septiembre,0,1,1.0,0,0,1975,no indicado,planta 5ª exterior,0,0,35988970,15,1,Zamora,Distrito Centro," , Distrito Centro , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",101,90,2019-04-11,450,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,1,1.0,1,0,2008,no indicado,planta 3ª,1,0,81797008,18,1,Morales del Vino,," , Morales del Vino , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",72,58,2019-04-11,400,1,2.0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,1,2.0,1,0,2008,no indicado,planta 1ª,1,0,81814806,15,1,Morales del Vino,," , Morales del Vino , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",104,84,2019-04-11,450,0,3.0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,1,2.0,1,0,2008,no indicado,bajo,1,0,81814807,15,1,Morales del Vino,," , Morales del Vino , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",83,67,2019-04-11,450,1,3.0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de septiembre,0,0,2.0,1,0,2008,no indicado,bajo,1,0,81814808,15,1,Morales del Vino,," , Morales del Vino , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",81,66,2019-04-11,450,1,3.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 22 de marzo,0,0,1.0,1,0,,,,0,1,83176478,15,,Zamora,Distrito Barrio Pinilla," , Distrito Barrio Pinilla , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",51,50,2019-04-11,385,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de noviembre,0,0,1.0,0,0,,no indicado,planta 4ª,0,0,83271953,15,1,Zamora,Distrito La Lana," , Distrito La Lana , Zamora , Área de Zamora, Zamora ",,"Área de Zamora, Zamora",96,80,2019-04-11,450,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
