ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 10 de abril,0,0,1.0,0,0,,no indicado,,0,0,85017409,0,,Toro,," , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",109,86,2019-04-11,63000,0,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,3.0,0,0,,no indicado,,1,0,81263788,1,,Toro,"Calle de los Pinarillos, 11"," Calle de los Pinarillos, 11 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",360,,2019-04-11,220000,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,0,1,81821822,2,,Toro,"Calle de la Reina, 10"," Calle de la Reina, 10 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",40,100,2019-04-11,60000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,40513644,0,0,Toro,"Calle Caballerizas del Conde, 7"," Calle Caballerizas del Conde, 7 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",80,,2019-04-11,58000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,planta 2ª exterior,0,0,37384103,0,0,Morales de Toro,"Avenida Comuneros, 59"," Avenida Comuneros, 59 , Morales de Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",106,90,2019-04-11,35000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
más de 5 meses sin actualizar,0,1,1.0,0,0,,no indicado,planta 1ª exterior,0,0,82515883,0,1,Toro,"Calle de Santa Catalina de Roncesvalles, 36"," Calle de Santa Catalina de Roncesvalles, 36 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",95,,2019-04-11,90000,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,1 planta,1,0,27417248,3,,Vezdemarban,"Calle Santa María, 3"," Calle Santa María, 3 , Vezdemarban , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",380,,2019-04-11,6000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,bajo exterior,1,0,1816196,4,0,Morales de Toro,"Plaza la Paz, 18"," Plaza la Paz, 18 , Morales de Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",150,120,2019-04-11,55000,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,planta 3ª exterior,0,0,31632389,0,1,Toro,"Carretera medina de rioseco, 2"," Carretera medina de rioseco, 2 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",92,,2019-04-11,68000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,1,,no indicado,2 plantas,1,0,34030136,2,,Toro,"Calle frailes, 5"," Calle frailes, 5 , Toro , Alfoz de Toro, Zamora ",,"Alfoz de Toro, Zamora",110,,2019-04-11,40000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
