province,market_type,model,split,n_samples,MAPE,RMSE,MAE,R2,training_time
bizkaia,rental,Support Vector Regression,train,900,1.2787165314904518,34.624863704550506,12.49605430311771,0.9809206496669658,0.04691910743713379
bizkaia,rental,Support Vector Regression,test,225,1.547167065274074,44.39769177687429,16.445768979878284,0.968219453686895,0.04691910743713379
bizkaia,rental,Random Forest,train,900,0.8886405938410105,17.946058945826096,8.33387967794052,0.9948746253414703,0.07648777961730957
bizkaia,rental,Random Forest,test,225,1.2265193806246697,27.916990061764867,12.926655862435195,0.9874345583221927,0.07648777961730957
bizkaia,rental,Gradient Boosting,train,900,0.2509470579445756,3.2497175110660157,2.2352028021841606,0.9998319344664096,0.07774209976196289
bizkaia,rental,Gradient Boosting,test,225,0.8678136390691871,18.391868495854972,8.675324732562501,0.9945462869842644,0.07774209976196289
bizkaia,rental,Decision Tree,train,900,0.8587978612368794,18.082055034915538,7.649947089947089,0.9947966503412214,0.0018587112426757812
bizkaia,rental,Decision Tree,test,225,1.8861220099671105,33.33703811611423,18.644444444444442,0.9820817909969515,0.0018587112426757812
gipuzkoa,rental,Support Vector Regression,train,224,3.5328273874666314,79.42532279674724,37.67117336982371,0.9201726485768154,0.002992868423461914
gipuzkoa,rental,Support Vector Regression,test,56,4.396443423997831,82.20529900187032,47.809779104288786,0.9082103046474612,0.002992868423461914
gipuzkoa,rental,Random Forest,train,224,1.9984420638421412,34.460861085784,20.952751801769644,0.9849725257216133,0.07030892372131348
gipuzkoa,rental,Random Forest,test,56,4.583139835473249,57.98917195437943,45.22873611755313,0.95432399450418,0.07030892372131348
gipuzkoa,rental,Gradient Boosting,train,224,0.0962216306371265,1.3443978401647851,0.9596398823422666,0.999977128778747,0.03279376029968262
gipuzkoa,rental,Gradient Boosting,test,56,3.525471397630394,48.269696340335756,34.017969481753504,0.9683522065670698,0.03279376029968262
gipuzkoa,rental,Decision Tree,train,224,2.113006279706913,32.97966206799347,21.551339285714285,0.9862365868867373,0.0010738372802734375
gipuzkoa,rental,Decision Tree,test,56,5.8052364628662385,76.19248741765088,57.232142857142854,0.9211469301184597,0.0010738372802734375
zamora,rental,Support Vector Regression,train,77,4.5195418467865665,60.312888275943585,20.564186354469772,0.6579569298935934,0.0007011890411376953
zamora,rental,Support Vector Regression,test,20,9.08384409879703,38.8781954956661,33.677257095864505,0.5514795000002279,0.0007011890411376953
zamora,rental,Random Forest,train,77,5.198661539879635,53.73059169382687,23.122014091608243,0.7285412849017235,0.0628972053527832
zamora,rental,Random Forest,test,20,9.023745578766153,36.37526759234847,33.332499098124124,0.6073708924584698,0.0628972053527832
zamora,rental,Gradient Boosting,train,77,0.8147976822130771,9.311510700766467,3.5509351331291272,0.991847311740439,0.019596099853515625
zamora,rental,Gradient Boosting,test,20,6.413141780356839,31.95279393055282,24.16821143215317,0.6970382670716994,0.019596099853515625
zamora,rental,Decision Tree,train,77,4.6588498768579765,53.62281085653608,20.4978354978355,0.7296292573808345,0.0009148120880126953
zamora,rental,Decision Tree,test,20,8.164562616328919,42.754954228850615,30.583333333333325,0.4575708869106496,0.0009148120880126953
soria,rental,Support Vector Regression,train,55,6.390186020792846,68.94757020523579,36.711158942456066,0.8691704831023764,0.00047707557678222656
soria,rental,Support Vector Regression,test,14,5.3181624828881855,33.632784185620785,25.70087711970118,0.8500477315385249,0.00047707557678222656
soria,rental,Random Forest,train,55,5.494552079401272,39.387103499111035,27.47761160960255,0.9573051104108875,0.0727071762084961
soria,rental,Random Forest,test,14,10.571454504379709,57.342435328538244,50.518683338486866,0.5641072296214891,0.0727071762084961
soria,rental,Gradient Boosting,train,55,0.08562997259333745,0.6369249451289859,0.41656403507760886,0.9999888353703091,0.018203258514404297
soria,rental,Gradient Boosting,test,14,9.180839212585111,55.62823071868302,43.44322338807417,0.5897789957108321,0.018203258514404297
soria,rental,Decision Tree,train,55,5.094994936748603,36.265560923428566,26.53333333333333,0.9638043312935721,0.000885009765625
soria,rental,Decision Tree,test,14,20.00073164967173,124.80108180557279,96.69642857142857,-1.0647339503145972,0.000885009765625
