province,market_type,model,split,n_samples,MAPE,RMSE,MAE,R2,training_time
bizkaia,sales,Support Vector Regression,train,12899,22.34727669638904,90652.02117824835,54137.42776502261,0.5260221713338085,7.2164061069488525
bizkaia,sales,Support Vector Regression,test,3225,20.3854928242934,86004.40735347792,51693.91599642682,0.5409386266818568,7.2164061069488525
bizkaia,sales,Random Forest,train,12899,0.7025708120657683,2525.800140782804,1473.3484768356332,0.9996320396610984,0.37857699394226074
bizkaia,sales,Random Forest,test,3225,0.7989033068852912,3467.6635246472633,1911.4990527835196,0.9992537175355408,0.37857699394226074
bizkaia,sales,Gradient Boosting,train,12899,0.6326536045079847,2084.2777274757736,1465.761189777052,0.9997494385697973,1.2062749862670898
bizkaia,sales,Gradient Boosting,test,3225,0.7506120184645625,2814.69826515351,1800.656231655672,0.9995083081299986,1.2062749862670898
bizkaia,sales,Decision Tree,train,12899,1.3571753175507937,4772.907527078778,3095.254272334041,0.9986860795130091,0.020470142364501953
bizkaia,sales,Decision Tree,test,3225,1.7022009440682697,6886.236783874861,4069.6781896747666,0.9970569798182312,0.020470142364501953
balears,sales,Support Vector Regression,train,8821,2369.588683025424,119061.22870380676,83572.10805329494,0.3388592280326691,3.312786817550659
balears,sales,Support Vector Regression,test,2206,30.19972444022535,121146.01354410769,84912.00395185672,0.33415509525086673,3.312786817550659
balears,sales,Random Forest,train,8821,503.7104486112167,2580.292581649944,1673.134978314919,0.9996894788914822,0.2179858684539795
balears,sales,Random Forest,test,2206,0.888285283280164,4207.046877031882,2501.22389540795,0.9991970111264047,0.2179858684539795
balears,sales,Gradient Boosting,train,8821,54.5158048477744,2597.5095938508903,1930.2156414934352,0.9996853211597779,0.9120440483093262
balears,sales,Gradient Boosting,test,2206,0.986214935698639,3982.2158314438093,2672.8749042594686,0.999280543709006,0.9120440483093262
balears,sales,Decision Tree,train,8821,313.00815274185385,5523.514432818243,3907.360952165197,0.9985770678022705,0.015769004821777344
balears,sales,Decision Tree,test,2206,2.171098875499629,8801.756461778876,5872.332683790731,0.9964852574354757,0.015769004821777344
coruna,sales,Support Vector Regression,train,4018,32.864094629527564,58874.16675998448,36654.67814448892,0.2450888058404388,0.6742427349090576
coruna,sales,Support Vector Regression,test,1005,32.545206224737115,67989.23420128363,38626.44473665468,0.18179185831847178,0.6742427349090576
coruna,sales,Random Forest,train,4018,1.1126570197357084,4159.19224013305,1301.7238297189174,0.9962324041805137,0.12708520889282227
coruna,sales,Random Forest,test,1005,1.9361096764042993,10984.060570649626,2671.9470734275433,0.9786445200726258,0.12708520889282227
coruna,sales,Gradient Boosting,train,4018,0.8913581089449653,1279.0309134119107,936.4695483931844,0.9996437060889108,0.39080286026000977
coruna,sales,Gradient Boosting,test,1005,1.6647145381894286,7533.302281690518,2287.429217650819,0.989954899497658,0.39080286026000977
coruna,sales,Decision Tree,train,4018,2.116335324424205,4219.2644731972005,2353.40984357872,0.9961227856124718,0.007134199142456055
coruna,sales,Decision Tree,test,1005,3.8774659849495694,11979.110350436948,5005.143567372414,0.9746000636169178,0.007134199142456055
gipuzkoa,sales,Support Vector Regression,train,3873,32.301555252740165,107739.74019551274,70570.52855472143,0.20192077632273508,0.6254379749298096
gipuzkoa,sales,Support Vector Regression,test,969,32.46547974118676,108702.06254721791,70824.32923809094,0.21049345898243343,0.6254379749298096
gipuzkoa,sales,Random Forest,train,3873,0.7794653223779474,3630.752892996653,1659.9717882603202,0.9990936675256383,0.1257171630859375
gipuzkoa,sales,Random Forest,test,969,1.1755044496060993,9837.533010171275,3071.052196728541,0.9935337488512146,0.1257171630859375
gipuzkoa,sales,Gradient Boosting,train,3873,0.6551741162639104,1798.669580936487,1324.5562570279553,0.9997775681689341,0.38315701484680176
gipuzkoa,sales,Gradient Boosting,test,969,1.2320246355392543,7648.03532223542,2910.9019084522383,0.9960917716265666,0.38315701484680176
gipuzkoa,sales,Decision Tree,train,3873,1.4296149596862415,4990.323615712754,3023.3375797653694,0.998287811495141,0.007324934005737305
gipuzkoa,sales,Decision Tree,test,969,2.5587617080671556,14705.539376327459,6297.454335397014,0.9855508573057948,0.007324934005737305
madrid,sales,Support Vector Regression,train,2996,31.466600688793555,122369.33540030936,77751.7985073658,0.13542356348353046,0.37267208099365234
madrid,sales,Support Vector Regression,test,750,31.55097068042143,118129.42559557047,76684.55206586886,0.15428783367847254,0.37267208099365234
madrid,sales,Random Forest,train,2996,0.8105203407155003,4465.714019280537,1930.084922924639,0.9988485634589365,0.11356425285339355
madrid,sales,Random Forest,test,750,1.3161494802892737,7611.587619213284,3383.333383067362,0.9964887892620372,0.11356425285339355
