market_type,province,model_type,model_name,AIC,BIC,RMSE,MAE,MAPE,order,seasonal_order
sales,bizkaia,"ARIMA(1, 1, 1)","sales_bizkaia_ARIMA(1, 1, 1)",1081.4766487248692,1087.0270915299993,162803.84660790616,151030.11118704756,54.57777592222828,"(1, 1, 1)",N/A
sales,bizkaia,"ARIMA(2, 1, 1)","sales_bizkaia_ARIMA(2, 1, 1)",1080.4039665419655,1087.8045569488056,153925.53557118375,144133.31526306111,49.099007577725295,"(2, 1, 1)",N/A
sales,bizkaia,"ARIMA(1, 1, 2)","sales_bizkaia_ARIMA(1, 1, 2)",1081.1466850980469,1088.547275504887,166097.77211731958,153613.17853122661,56.05436569294987,"(1, 1, 2)",N/A
sales,balears,"ARIMA(1, 1, 1)","sales_balears_ARIMA(1, 1, 1)",1121.501486904108,1127.0519297092383,383072.315032987,372509.8699347312,134.6512851527886,"(1, 1, 1)",N/A
sales,balears,"ARIMA(2, 1, 1)","sales_balears_ARIMA(2, 1, 1)",1119.3738173271277,1126.7744077339678,367593.851051247,357040.6130342793,129.17726642791345,"(2, 1, 1)",N/A
sales,balears,"ARIMA(1, 1, 2)","sales_balears_ARIMA(1, 1, 2)",1119.7276803325356,1127.1282707393757,364301.2737038527,353869.3179962022,128.0244395820877,"(1, 1, 2)",N/A
sales,coruna,"ARIMA(1, 1, 1)","sales_coruna_ARIMA(1, 1, 1)",1057.9992490435955,1063.5496918487256,62104.002032303964,58935.46745394525,36.54510819172398,"(1, 1, 1)",N/A
sales,coruna,"ARIMA(2, 1, 1)","sales_coruna_ARIMA(2, 1, 1)",1060.1414814978511,1067.5420719046913,62471.97614281516,59413.26350410673,36.95774048707145,"(2, 1, 1)",N/A
sales,coruna,"ARIMA(1, 1, 2)","sales_coruna_ARIMA(1, 1, 2)",1058.9869057105468,1066.387496117387,62334.74620457056,59235.8713051375,36.80347992896687,"(1, 1, 2)",N/A
sales,gipuzkoa,"ARIMA(1, 1, 1)","sales_gipuzkoa_ARIMA(1, 1, 1)",1090.0880623050373,1095.6385051101674,227096.7026898173,218395.3844411686,102.72670975344307,"(1, 1, 1)",N/A
sales,gipuzkoa,"ARIMA(2, 1, 1)","sales_gipuzkoa_ARIMA(2, 1, 1)",1092.0207220369307,1099.4213124437708,229587.70359887465,220530.63734724172,103.86119687539184,"(2, 1, 1)",N/A
sales,gipuzkoa,"ARIMA(1, 1, 2)","sales_gipuzkoa_ARIMA(1, 1, 2)",1104.5702428510162,1111.9708332578564,236429.00928967597,226559.02573699065,106.96291983850375,"(1, 1, 2)",N/A
sales,madrid,"ARIMA(1, 1, 1)","sales_madrid_ARIMA(1, 1, 1)",1125.2700314873205,1130.8204742924506,596395.7652954072,591985.0009650424,300.1027803874808,"(1, 1, 1)",N/A
sales,madrid,"ARIMA(2, 1, 1)","sales_madrid_ARIMA(2, 1, 1)",1122.8073105254027,1130.2079009322429,545131.7409189616,542139.3879571025,274.48277780208,"(2, 1, 1)",N/A
sales,madrid,"ARIMA(1, 1, 2)","sales_madrid_ARIMA(1, 1, 2)",1125.0117095856097,1132.4122999924498,641580.4332196299,636024.8867799352,322.59640065668617,"(1, 1, 2)",N/A
rental,bizkaia,"ARIMA(1, 1, 1)","rental_bizkaia_ARIMA(1, 1, 1)",400.3503004087861,405.90074321391626,63.54179778153733,37.782951354446446,2.7594101096973023,"(1, 1, 1)",N/A
rental,bizkaia,"ARIMA(2, 1, 1)","rental_bizkaia_ARIMA(2, 1, 1)",401.9789083087021,409.37949871554235,65.16641868954224,38.91244409932375,2.8352973350795505,"(2, 1, 1)",N/A
rental,bizkaia,"ARIMA(1, 1, 2)","rental_bizkaia_ARIMA(1, 1, 2)",401.6818322207074,409.08242262754766,66.27130173254743,39.518778673261295,2.873135671096635,"(1, 1, 2)",N/A
rental,gipuzkoa,"ARIMA(1, 1, 1)","rental_gipuzkoa_ARIMA(1, 1, 1)",199.75457583984618,202.88814315301644,150.101258995373,127.81553305435693,8.434721663789364,"(1, 1, 1)",N/A
rental,gipuzkoa,"ARIMA(2, 1, 1)","rental_gipuzkoa_ARIMA(2, 1, 1)",201.6921361818125,205.87022593270618,150.69989820440097,128.50210447192725,8.48216683733219,"(2, 1, 1)",N/A
rental,gipuzkoa,"ARIMA(1, 1, 2)","rental_gipuzkoa_ARIMA(1, 1, 2)",201.19499898391174,205.37308873480544,290.6109192613849,259.5037739387788,17.256647312405672,"(1, 1, 2)",N/A
